dataset_id,unit_id,status,role,partial_run,actual_label,pmc_prediction,comparator_prediction,pmc_score,comparator_score,independent_unit,interpretation,claim_boundary
CODEX_VFD,A1_1.prefix,EVALUATED_PARTIAL_RUN_PREFIX,CONTROLLED_INJECTED_DISTURBANCE,True,1,0,0,0.67449076,0.076292257,measurement_run,Controlled current-disturbance mechanism on a partial prefix; not a field fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CODEX_VFD,A1_2.prefix,EVALUATED_PARTIAL_RUN_PREFIX,CONTROLLED_INJECTED_DISTURBANCE,True,1,0,0,0.67449076,0.21303468,measurement_run,Controlled current-disturbance mechanism on a partial prefix; not a field fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CODEX_VFD,A1_3.prefix,EVALUATED_PARTIAL_RUN_PREFIX,CONTROLLED_INJECTED_DISTURBANCE,True,1,0,0,0.89932101,0.26567199,measurement_run,Controlled current-disturbance mechanism on a partial prefix; not a field fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CODEX_VFD,A1_4.prefix,EVALUATED_PARTIAL_RUN_PREFIX,CONTROLLED_INJECTED_DISTURBANCE,True,1,0,0,0.67449076,0.16176082,measurement_run,Controlled current-disturbance mechanism on a partial prefix; not a field fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CODEX_VFD,A2_1.prefix,EVALUATED_PARTIAL_RUN_PREFIX,CONTROLLED_INJECTED_DISTURBANCE,True,1,0,0,0.67449076,0.20945741,measurement_run,Controlled current-disturbance mechanism on a partial prefix; not a field fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CODEX_VFD,A2_2.prefix,EVALUATED_PARTIAL_RUN_PREFIX,CONTROLLED_INJECTED_DISTURBANCE,True,1,0,0,0.78690589,0.24573173,measurement_run,Controlled current-disturbance mechanism on a partial prefix; not a field fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CODEX_VFD,A2_3.prefix,EVALUATED_PARTIAL_RUN_PREFIX,CONTROLLED_INJECTED_DISTURBANCE,True,1,0,0,0.67449076,0.2650732,measurement_run,Controlled current-disturbance mechanism on a partial prefix; not a field fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CODEX_VFD,A3_1.prefix,EVALUATED_PARTIAL_RUN_PREFIX,CONTROLLED_INJECTED_DISTURBANCE,True,1,0,0,0.89932101,0.27331884,measurement_run,Controlled current-disturbance mechanism on a partial prefix; not a field fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CODEX_VFD,A3_2.prefix,EVALUATED_PARTIAL_RUN_PREFIX,CONTROLLED_INJECTED_DISTURBANCE,True,1,0,0,0.67449076,0.021835381,measurement_run,Controlled current-disturbance mechanism on a partial prefix; not a field fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
CODEX_VFD,A3_3.prefix,EVALUATED_PARTIAL_RUN_PREFIX,CONTROLLED_INJECTED_DISTURBANCE,True,1,0,0,0.67449076,0.052976903,measurement_run,Controlled current-disturbance mechanism on a partial prefix; not a field fault.,"External physical-mechanism replication only; not streetlight field accuracy, municipal performance, fault recall, false-positive rate, asset condition, or actual fault probability."
